symbol,v4_trades,v4_wr,v4_avgR,v4_totalR,v4_sl,th0.50_wr,th0.55_wr,th0.60_wr,th0.65_wr,th0.70_wr,th0.50_totalR,th0.55_totalR,th0.60_totalR,th0.65_totalR,th0.70_totalR,th0.50_trades,th0.55_trades,th0.60_trades,th0.65_trades,th0.70_trades,th0.50_sl,th0.55_sl,th0.60_sl,th0.65_sl,th0.70_sl
ADAUSDT,11639,63.2,0.35,4072.0,36.9,81.3,83.3,85.1,87.2,89.0,3303.5,2895.4,2554.3,2259.2,1830.6,6250,5531,4872,4171,3354,18.7,16.7,14.9,12.8,11.0
ATOMUSDT,10431,63.4,0.377,3934.5,36.6,81.0,83.2,85.2,87.4,89.4,3124.5,2799.1,2505.2,2147.6,1781.3,5689,5049,4487,3800,3067,19.1,16.9,14.8,12.7,10.6
AVAXUSDT,11197,62.2,0.351,3933.4,37.9,81.4,83.2,84.9,86.7,88.9,3293.1,2897.0,2454.7,2137.9,1793.4,5884,5229,4534,3879,3173,18.6,16.8,15.1,13.3,11.1
BNBUSDT,11112,64.0,0.421,4682.0,36.1,81.0,82.5,84.3,86.4,88.8,3469.0,3126.4,2811.1,2367.0,1923.5,6158,5571,4926,4139,3269,19.1,17.6,15.8,13.7,11.4
BTCUSDT,11846,65.7,0.451,5344.2,34.3,82.9,84.9,87.2,89.7,92.7,4393.5,4006.4,3566.2,3088.5,2590.3,7005,6341,5619,4744,3772,17.2,15.2,12.9,10.5,7.4
DOGEUSDT,11958,62.4,0.349,4176.5,37.6,81.7,83.3,85.0,87.2,89.1,3437.1,3027.1,2668.2,2302.7,1905.5,6280,5601,4934,4220,3419,18.4,16.8,15.0,12.9,11.0
DOTUSDT,10912,63.9,0.366,3995.5,36.2,82.3,84.2,85.9,88.0,89.8,3211.8,2870.0,2570.5,2246.9,1847.2,5893,5266,4658,4002,3223,17.7,15.8,14.1,12.0,10.2
ETCUSDT,11281,62.7,0.389,4390.9,37.4,80.6,82.4,84.2,85.8,88.2,3239.9,2857.1,2539.2,2114.9,1717.7,5938,5279,4650,3954,3127,19.4,17.7,15.8,14.2,11.9
ETHUSDT,12948,63.0,0.409,5298.8,37.1,81.6,83.7,85.6,87.1,89.4,4079.9,3652.1,3202.2,2714.2,2213.2,6860,6112,5355,4556,3612,18.6,16.4,14.5,13.0,10.7
FILUSDT,11529,65.3,0.373,4301.5,34.7,83.0,85.3,86.6,88.4,90.4,3451.6,3106.0,2680.9,2286.9,1885.3,6321,5598,4932,4193,3384,17.1,14.8,13.4,11.6,9.7
LINKUSDT,10701,64.7,0.406,4340.8,35.4,82.4,84.3,86.0,87.8,89.7,3403.3,2958.4,2583.1,2162.0,1791.1,5870,5185,4551,3840,3123,17.7,15.8,14.0,12.3,10.4
LTCUSDT,11220,65.7,0.46,5156.8,34.3,82.4,84.3,86.1,87.7,89.4,3758.3,3346.1,2944.6,2505.7,1983.7,6229,5584,4936,4198,3318,17.6,15.8,14.0,12.4,10.6
NEARUSDT,10718,65.9,0.371,3976.5,34.2,81.8,83.6,85.2,87.0,88.7,3128.3,2746.2,2400.1,2084.2,1727.3,6080,5371,4718,4061,3343,18.3,16.4,14.8,13.0,11.3
SOLUSDT,11484,63.1,0.364,4175.5,37.0,80.4,82.9,84.6,86.6,88.9,3129.3,2850.1,2503.9,2165.0,1787.5,6055,5362,4685,3979,3193,19.7,17.2,15.5,13.4,11.1
UNIUSDT,10903,63.8,0.377,4108.9,36.3,82.3,83.8,84.9,86.8,87.9,3237.4,2823.8,2431.6,2068.1,1697.8,5796,5144,4580,3905,3217,17.8,16.3,15.2,13.2,12.1
XRPUSDT,12074,62.7,0.368,4445.0,37.5,81.4,83.0,84.9,86.9,89.2,3608.2,3211.9,2840.6,2394.3,1933.7,6490,5850,5153,4308,3420,18.7,17.1,15.2,13.2,10.9
