strategy_name,regime,n_trades,iterations,method,median_total_R,p5_total_R,p95_total_R,median_max_drawdown_R,p95_max_drawdown_R,worst_max_drawdown_R,median_longest_losing_streak,p95_longest_losing_streak,probability_of_negative_total_R,probability_drawdown_exceeds_threshold
ABCD_V4_ML_NEARUSDT_15m,unknown,4718,5000,bootstrap,2400.6114499999994,2314.921375000002,2486.630744999996,-4.750749999999925,-3.9548149999999276,-10.633600000000115,4.0,5.0,0.0,0.0002
ABCD_V4_ML_UNIUSDT_15m,unknown,4580,5000,bootstrap,2431.828100000005,2346.6094000000044,2520.2066550000072,-4.809599999999932,-4.0,-11.840800000000058,4.0,5.0,0.0,0.0004
ABCD_V4_ML_LTCUSDT_15m,unknown,4936,5000,bootstrap,2945.4604500000005,2850.410950000002,3039.247969999997,-4.467399999999998,-3.593839999999858,-10.222100000000069,4.0,5.0,0.0,0.0002
ABCD_V4_ML_FILUSDT_15m,unknown,4932,5000,bootstrap,2681.269300000001,2596.173844999998,2764.586219999994,-4.401400000000081,-3.538694999999819,-10.0,4.0,5.0,0.0,0.0002
ABCD_V4_ML_ADAUSDT_15m,unknown,4872,5000,bootstrap,2553.7900999999956,2465.4346449999985,2643.030129999998,-4.782899999999927,-3.9685999999999857,-9.979000000000042,4.0,5.0,0.0,0.0
ABCD_V4_ML_ETCUSDT_15m,unknown,4650,5000,bootstrap,2537.5107999999996,2445.6938399999976,2632.094644999993,-5.0,-4.0,-10.330300000000022,4.0,6.0,0.0,0.0002
ABCD_V4_ML_SOLUSDT_15m,unknown,4685,5000,bootstrap,2503.4527000000035,2412.5605500000006,2592.9729550000015,-4.918149999999912,-4.0,-10.470199999999977,4.0,6.0,0.0,0.0002
ABCD_V4_ML_BTCUSDT_15m,unknown,5619,5000,bootstrap,3566.5186499999936,3463.240174999997,3667.500714999987,-4.265650000000051,-3.4720350000000137,-8.543900000000008,4.0,5.0,0.0,0.0
ABCD_V4_ML_DOGEUSDT_15m,unknown,4934,5000,bootstrap,2667.143300000006,2575.331564999992,2760.4551249999977,-4.84910000000005,-4.0,-9.413900000000012,4.0,5.0,0.0,0.0
ABCD_V4_ML_XRPUSDT_15m,unknown,5153,5000,bootstrap,2839.943150000001,2746.336370000004,2937.527889999996,-4.892699999999877,-4.0,-12.349299999999857,4.0,6.0,0.0,0.0002
ABCD_V4_ML_LINKUSDT_15m,unknown,4551,5000,bootstrap,2583.982200000005,2494.9173950000013,2670.577075000005,-4.431549999999987,-3.5724949999999915,-9.9221,4.0,5.0,0.0,0.0
ABCD_V4_ML_AVAXUSDT_15m,unknown,4534,5000,bootstrap,2453.5822500000013,2368.2091849999997,2542.3711049999933,-4.681150000000002,-3.9307350000000834,-11.151100000000042,4.0,5.0,0.0,0.0002
ABCD_V4_ML_BNBUSDT_15m,unknown,4926,5000,bootstrap,2811.9333000000056,2713.5116100000023,2910.8747550000007,-5.0,-4.0,-10.268299999999954,4.0,6.0,0.0,0.0002
ABCD_V4_ML_ETHUSDT_15m,unknown,5355,5000,bootstrap,3201.358099999991,3103.267125000007,3300.1275800000053,-4.601349999999911,-3.748170000000001,-10.296200000000226,4.0,5.0,0.0,0.0002
ABCD_V4_ML_DOTUSDT_15m,unknown,4658,5000,bootstrap,2571.7909499999932,2483.038689999994,2659.300184999998,-4.486350000000016,-3.5898699999999395,-10.467499999999916,4.0,5.0,0.0,0.0002
ABCD_V4_ML_ATOMUSDT_15m,unknown,4487,5000,bootstrap,2505.460149999993,2414.585560000004,2591.8111799999997,-4.623899999999992,-3.7441799999999774,-9.846300000000156,4.0,5.0,0.0,0.0
