scope,action,severity,strategy_name,regime,direction,trade_count,profit_factor,win_rate,avg_R,max_drawdown_R,payoff_ratio,enable_score,status,priority_score,reason,recommendation
strategy_direction,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,,short,2330,4.6746,0.8605,0.5114,8.168,0.7577,,,36.71,WR 86.1% ≥ 50% but payoff 0.76 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m @ short**: win rate 86.1% is ok but payoff 0.76 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,unknown,short,2330,4.6746,0.8605,0.5114,8.168,0.7577,75.8,中等开启,36.71,WR 86.1% ≥ 50% but payoff 0.76 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m @ unknown @ short**: win rate 86.1% is ok but payoff 0.76 is too low.
strategy_direction,optimize,warning,ABCD_V4_ML_FILUSDT_15m,,short,2445,4.9695,0.8671,0.5276,6.4821,0.7618,,,36.39,WR 86.7% ≥ 50% but payoff 0.76 < 0.8,Optimize exits/stops for **ABCD_V4_ML_FILUSDT_15m @ short**: win rate 86.7% is ok but payoff 0.76 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_FILUSDT_15m,unknown,short,2445,4.9695,0.8671,0.5276,6.4821,0.7618,77.6,中等开启,36.39,WR 86.7% ≥ 50% but payoff 0.76 < 0.8,Optimize exits/stops for **ABCD_V4_ML_FILUSDT_15m @ unknown @ short**: win rate 86.7% is ok but payoff 0.76 is too low.
strategy,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,,,4718,4.4421,0.8521,0.5087,6.0,0.7713,,,35.63,WR 85.2% ≥ 50% but payoff 0.77 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m**: win rate 85.2% is ok but payoff 0.77 is too low.
strategy_regime,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,unknown,,4718,4.4421,0.8521,0.5087,6.0,0.7713,75.8,中等开启,35.63,WR 85.2% ≥ 50% but payoff 0.77 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m @ unknown**: win rate 85.2% is ok but payoff 0.77 is too low.
strategy_direction,optimize,warning,ABCD_V4_ML_ADAUSDT_15m,,short,2439,4.6921,0.8585,0.5195,7.0,0.7731,,,35.49,WR 85.9% ≥ 50% but payoff 0.77 < 0.8,Optimize exits/stops for **ABCD_V4_ML_ADAUSDT_15m @ short**: win rate 85.9% is ok but payoff 0.77 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_ADAUSDT_15m,unknown,short,2439,4.6921,0.8585,0.5195,7.0,0.7731,74.9,中等开启,35.49,WR 85.9% ≥ 50% but payoff 0.77 < 0.8,Optimize exits/stops for **ABCD_V4_ML_ADAUSDT_15m @ unknown @ short**: win rate 85.9% is ok but payoff 0.77 is too low.
strategy_direction,optimize,warning,ABCD_V4_ML_UNIUSDT_15m,,short,2302,4.6363,0.8558,0.5244,6.0,0.7813,,,34.83,WR 85.6% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_UNIUSDT_15m @ short**: win rate 85.6% is ok but payoff 0.78 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_UNIUSDT_15m,unknown,short,2302,4.6363,0.8558,0.5244,6.0,0.7813,77.2,中等开启,34.83,WR 85.6% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_UNIUSDT_15m @ unknown @ short**: win rate 85.6% is ok but payoff 0.78 is too low.
strategy,optimize,warning,ABCD_V4_ML_FILUSDT_15m,,,4932,5.0739,0.8664,0.5436,5.4676,0.7825,,,34.73,WR 86.6% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_FILUSDT_15m**: win rate 86.6% is ok but payoff 0.78 is too low.
strategy_regime,optimize,warning,ABCD_V4_ML_FILUSDT_15m,unknown,,4932,5.0739,0.8664,0.5436,5.4676,0.7825,77.6,中等开启,34.73,WR 86.6% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_FILUSDT_15m @ unknown**: win rate 86.6% is ok but payoff 0.78 is too low.
strategy_direction,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,,long,2388,4.2399,0.8438,0.5061,8.1089,0.7849,,,34.54,WR 84.4% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m @ long**: win rate 84.4% is ok but payoff 0.78 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_NEARUSDT_15m,unknown,long,2388,4.2399,0.8438,0.5061,8.1089,0.7849,75.8,中等开启,34.54,WR 84.4% ≥ 50% but payoff 0.78 < 0.8,Optimize exits/stops for **ABCD_V4_ML_NEARUSDT_15m @ unknown @ long**: win rate 84.4% is ok but payoff 0.78 is too low.
strategy,optimize,warning,ABCD_V4_ML_ADAUSDT_15m,,,4872,4.532,0.8512,0.5243,7.0,0.7923,,,33.95,WR 85.1% ≥ 50% but payoff 0.79 < 0.8,Optimize exits/stops for **ABCD_V4_ML_ADAUSDT_15m**: win rate 85.1% is ok but payoff 0.79 is too low.
strategy_regime,optimize,warning,ABCD_V4_ML_ADAUSDT_15m,unknown,,4872,4.532,0.8512,0.5243,7.0,0.7923,74.9,中等开启,33.95,WR 85.1% ≥ 50% but payoff 0.79 < 0.8,Optimize exits/stops for **ABCD_V4_ML_ADAUSDT_15m @ unknown**: win rate 85.1% is ok but payoff 0.79 is too low.
strategy_direction,optimize,warning,ABCD_V4_ML_DOGEUSDT_15m,,short,2549,4.245,0.8423,0.5106,6.0453,0.7948,,,33.75,WR 84.2% ≥ 50% but payoff 0.79 < 0.8,Optimize exits/stops for **ABCD_V4_ML_DOGEUSDT_15m @ short**: win rate 84.2% is ok but payoff 0.79 is too low.
strategy_regime_direction,optimize,warning,ABCD_V4_ML_DOGEUSDT_15m,unknown,short,2549,4.245,0.8423,0.5106,6.0453,0.7948,76.9,中等开启,33.75,WR 84.2% ≥ 50% but payoff 0.79 < 0.8,Optimize exits/stops for **ABCD_V4_ML_DOGEUSDT_15m @ unknown @ short**: win rate 84.2% is ok but payoff 0.79 is too low.
