rule,rows,sl,tp2,sl_removed_vs_v1,tp2_retention_vs_v1,sl_rate,tp2_rate,avg_r,total_r,total_r_delta_vs_v1
uniform_close_72_all_tf,1975,1070,869,0.49953227315247895,0.762280701754386,0.5417721518987342,0.44,0.460539376771052,909.5652691228277,501.52666133459473
variable_15m72_30m120_1h160,2073,1114,923,0.47895229186155286,0.8096491228070175,0.5373854317414375,0.4452484322238302,0.47701449968289766,988.8510578426468,580.8124500544138
variable_15m72_30m120_1h120,2058,1108,914,0.48175865294667913,0.8017543859649123,0.5383867832847424,0.44412050534499514,0.47378869803708346,975.0571405603177,567.0185327720849
variable_15m80_30m120_1h160,2103,1129,938,0.47193638914873715,0.8228070175438597,0.5368521160247266,0.4460294816928198,0.4807644429371699,1011.0476234968684,603.0090157086354
variable_by_tf_15m,1084,547,520,0.7441534144059869,0.45614035087719296,0.5046125461254612,0.4797047970479705,0.5920531254010748,641.7855879347651,233.74698014653217
variable_by_tf_1h,326,195,129,0.9087932647333957,0.11315789473684211,0.598159509202454,0.39570552147239263,0.3277369259360895,106.84223785516518,-301.19636993306773
variable_by_tf_30m,663,372,274,0.8260056127221702,0.24035087719298245,0.5610859728506787,0.4132730015082956,0.36232765015492663,240.22323205271636,-167.81537573551657
variable_by_direction_bearish,956,506,434,0.7633302151543498,0.38070175438596493,0.5292887029288703,0.45397489539748953,0.5238544812422542,500.804884067595,92.7662762793621
variable_by_direction_bullish,1117,608,489,0.715622076707203,0.42894736842105263,0.5443151298119964,0.4377797672336616,0.436925849395749,488.04617377505167,80.00756598681875
variable_by_quarter_2025Q1,348,196,148,0.9083255378858747,0.12982456140350876,0.5632183908045977,0.42528735632183906,0.42680522752523914,148.52821917878322,-259.5103886094497
variable_by_quarter_2025Q2,369,211,148,0.901309635173059,0.12982456140350876,0.5718157181571816,0.4010840108401084,0.3369167147935747,124.32226775882907,-283.71634002940385
variable_by_quarter_2025Q3,308,150,153,0.9298409728718429,0.13421052631578947,0.487012987012987,0.4967532467532468,0.6610240707130176,203.59541377960943,-204.4431940086235
variable_by_quarter_2025Q4,398,225,168,0.8947614593077643,0.14736842105263157,0.5653266331658291,0.4221105527638191,0.40544972747388724,161.36899153460712,-246.6696162536258
variable_by_quarter_2026Q1,335,158,166,0.9260991580916744,0.1456140350877193,0.4716417910447761,0.4955223880597015,0.666653635573314,223.3289679170602,-184.70963987117273
variable_by_quarter_2026Q2,315,174,140,0.9186155285313377,0.12280701754385964,0.5523809523809524,0.4444444444444444,0.40541967515478633,127.70719767375769,-280.33141011447526
