quarter,filter,rows,sl,tp1,tp2,sl_rate,tp1_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
2025Q1,base_tp2_score_ge_0.25,658.0,447.0,211.0,204.0,0.6793313069908815,0.32066869300911854,0.3100303951367781,-0.015803533371339825,-10.398724958341605,0.0,1.0,0.0
2025Q2,base_tp2_score_ge_0.25,666.0,446.0,220.0,209.0,0.6696696696696697,0.3303303303303303,0.3138138138138138,-0.0122596609003148,-8.164934159609658,0.0,1.0,0.0
2025Q3,base_tp2_score_ge_0.25,666.0,389.0,277.0,264.0,0.5840840840840841,0.4159159159159159,0.3963963963963964,0.27541036634831734,183.42330398797935,0.0,1.0,0.0
2025Q4,base_tp2_score_ge_0.25,755.0,522.0,233.0,228.0,0.6913907284768211,0.3086092715231788,0.3019867549668874,-0.05896052398124452,-44.51519560583961,0.0,1.0,0.0
2026Q1,base_tp2_score_ge_0.25,769.0,493.0,276.0,261.0,0.6410923276983095,0.3589076723016905,0.33940182054616386,0.10968646431606897,84.34889105905704,0.0,1.0,0.0
2026Q2,base_tp2_score_ge_0.25,638.0,426.0,212.0,210.0,0.6677115987460815,0.3322884012539185,0.329153605015674,-0.0009682242382246907,-0.6177270639873527,0.0,1.0,0.0
2025Q1,main_atr_0.185_0.874,528.0,358.0,170.0,166.0,0.678030303030303,0.32196969696969696,0.3143939393939394,0.015061710578652866,7.952583185528713,0.19910514541387025,0.8137254901960784,18.35130814387032
2025Q2,main_atr_0.185_0.874,559.0,374.0,185.0,175.0,0.669051878354204,0.33094812164579607,0.31305903398926654,0.011933137253907822,6.670623724934472,0.16143497757847533,0.8373205741626795,14.83555788454413
2025Q3,main_atr_0.185_0.874,473.0,272.0,201.0,193.0,0.5750528541226215,0.4249471458773784,0.4080338266384778,0.35187872119696434,166.43863512616414,0.30077120822622105,0.7310606060606061,-16.98466886181521
2025Q4,main_atr_0.185_0.874,638.0,424.0,214.0,209.0,0.664576802507837,0.335423197492163,0.3275862068965517,0.062161403838520674,39.65897564897619,0.18773946360153257,0.9166666666666666,84.1741712548158
2026Q1,main_atr_0.185_0.874,610.0,370.0,240.0,226.0,0.6065573770491803,0.39344262295081966,0.3704918032786885,0.2728192553918003,166.41974578899817,0.24949290060851928,0.8659003831417624,82.07085472994113
2026Q2,main_atr_0.185_0.874,513.0,340.0,173.0,171.0,0.6627680311890838,0.33723196881091616,0.3333333333333333,0.04073692848661058,20.898044313631225,0.20187793427230047,0.8142857142857143,21.515771377618577
2025Q1,aggressive_atr_0.232_0.874,481.0,324.0,157.0,153.0,0.6735966735966736,0.3264033264033264,0.3180873180873181,0.039520920093905204,19.0095625651684,0.2751677852348993,0.75,29.408287523510005
2025Q2,aggressive_atr_0.232_0.874,475.0,320.0,155.0,148.0,0.6736842105263158,0.3263157894736842,0.31157894736842107,0.004496432928752482,2.135805641157429,0.2825112107623318,0.7081339712918661,10.300739800767087
2025Q3,aggressive_atr_0.232_0.874,377.0,212.0,165.0,159.0,0.5623342175066313,0.4376657824933687,0.4217506631299735,0.4105388733147238,154.77315523965086,0.455012853470437,0.6022727272727273,-28.65014874832849
2025Q4,aggressive_atr_0.232_0.874,576.0,375.0,201.0,199.0,0.6510416666666666,0.3489583333333333,0.3454861111111111,0.13316039092589133,76.7003851733134,0.28160919540229884,0.8728070175438597,121.21558077915302
2026Q1,aggressive_atr_0.232_0.874,558.0,340.0,218.0,205.0,0.6093189964157706,0.3906810035842294,0.3673835125448029,0.27083774899611035,151.12746393982957,0.3103448275862069,0.7854406130268199,66.77857288077253
2026Q2,aggressive_atr_0.232_0.874,439.0,299.0,140.0,138.0,0.6810933940774487,0.31890660592255127,0.3143507972665148,-0.021593099333060875,-9.479370607213724,0.2981220657276995,0.6571428571428571,-8.861643543226371
