filter,timeframe,pattern_type,rows,sl,tp2,sl_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
base,15m,bearish,1226,774,439,0.6313213703099511,0.35807504078303426,0.13296380511715117,163.01362507362734,0.0,1.0,0.0
base,15m,bullish,1234,821,396,0.6653160453808752,0.3209076175040519,-0.024682853666635904,-30.458641424628706,0.0,1.0,0.0
base,1h,bearish,248,173,74,0.6975806451612904,0.29838709677419356,-0.007441442484057185,-1.845477736046182,0.0,1.0,0.0
base,1h,bullish,306,212,91,0.6928104575163399,0.2973856209150327,-0.019256063073066817,-5.892355300358446,0.0,1.0,0.0
base,30m,bearish,546,359,178,0.6575091575091575,0.326007326007326,0.05845255341233367,31.915094163134185,0.0,1.0,0.0
base,30m,bullish,592,384,198,0.6486486486486487,0.3344594594594595,0.07997190622217905,47.34336848352999,0.0,1.0,0.0
main_atr_0.185_0.874,15m,bearish,920,559,350,0.6076086956521739,0.3804347826086957,0.26247195586370586,241.4741993946094,0.2777777777777778,0.7972665148063781,78.46057432098206
main_atr_0.185_0.874,15m,bullish,950,623,315,0.6557894736842105,0.33157894736842103,0.056563645710766795,53.73546342522845,0.24116930572472595,0.7954545454545454,84.19410484985715
main_atr_0.185_0.874,1h,bearish,223,156,66,0.6995515695067265,0.29596412556053814,-0.015673164569731862,-3.4951156990502055,0.09826589595375723,0.8918918918918919,-1.6496379630040234
main_atr_0.185_0.874,1h,bullish,229,152,75,0.6637554585152838,0.32751091703056767,0.08603588580137334,19.702217848514493,0.2830188679245283,0.8241758241758241,25.59457314887294
main_atr_0.185_0.874,30m,bearish,481,313,161,0.6507276507276507,0.33471933471933474,0.09661622955723632,46.47240641703067,0.12813370473537605,0.9044943820224719,14.557312253896484
main_atr_0.185_0.874,30m,bullish,518,335,173,0.6467181467181468,0.333976833976834,0.09681358378745197,50.149436401900125,0.12760416666666666,0.8737373737373737,2.8060679183701325
